Villages,Garden land without Road Access,Garden land with Road Access,Wet Land,Rocky Land,Residential Plot with Private Road Access,Residential Plot with NH/PWD Road Acess,Commercially Important Plot
Alakode,92891.88679,108397.1429,79379.41748,50293.21101,96360,"86,087.00",250140
Arakkulam,61733.12821,89412.4,52338,"69,480",102714.48,"141,848.18",313364.3836
Elappally,15167.54717,33792,0,0,26386.39175,"12,314.72",58778.82353
Idukki,0,0,26904,"12,643.32","67,197.54","172,099.20","502,336.36"
Kanjikuzhy,0,54384,"45,311.46",26928,"44,770.29","54,945.05","178,272"
Karimkunnam,"244,392",75240,"111,458.29","38,844.57","87,678.86","159,056.08","352,917.86"
Karimannoor,"102,720","109,214.40","133,358.40",158400,"134,865.60","137,774.02",94248
Kodikkulam,"71,880","81,856","70,800",52800,"101,280","95,830.69","122,040"
Kudayathoor,26400,0,0,0,"164,230","278,916","248,407"
Kumaramangalam,33396,0,"202,103","50,765","123,764","557,581.20",1320000
Manakkad,"172,151","172,644","98,162","125,620","169,812","215,688","270,011"
Muttom,"47,780","87,531","53,684",0,"96,518","138,072","316,536"
Purapuzha,"103,018","146,760","31,489.41","20,409.92","126,852.29","231,731.43",302524.4444
Udumbannoor,"57,152.58","52,783.13","65,237.91","50,343.33","56,892.98","62,570.94","97,362.79"
Vannappuram,"83,755.79","89,179.56","49,144.64",0,"94,500",0,"238,493"
Velliyamattom,"122,583","124,300","66,900","22,836","160,656","222,679","241,164"
Karikkode,0,"410,712","81,411.50",110880,"155,134","116,201.68","575,043"
