LIST OF VILLAGES WITH ONLINE TR AS on 15/7/19,,,,,,
Slno,District Name Malayalam,District Name English,Taluk Name Malayalam,Taluk Name English,Village Name Malayalam,Village Name English
1,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????????,ANDOORKONAM
2,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,????????,ATTIPRA
3,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????????,CHERUVAKKAL
4,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????,AYIROOPARA
5,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,KADAKAMPALLY
6,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,KADINAMKULAM
7,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????,KALLIYOOR
8,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????,KAZHAKOOTTAM
9,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,????????????????,KEEZHTHONNAKKAL
10,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,KOWDIAR
11,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????????,KUDAPPANAKUNNU
12,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,MANACAUD
13,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????????????,MELTHONACKAL
14,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,MUTTATHARA
15,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,????,NEMOM
16,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????,PALLIPURAM TRIVANDRUM
17,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????,PANGAPARA
18,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????,PATTOM
19,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????,PEROORKADA
20,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????,PETTAH
21,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????,SASTHAMANGALAM
22,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????,THIRUMALA
23,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,THIRUVALLAM
24,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,THYCAUD
25,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????,ULIYAZHATHURA
26,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,????????,ULOOR
27,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,??????????,VANCHIYOOR
28,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????????????,VATTIYOORKAVU
29,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,?????????,VEILOOR
30,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,???????????,VEGANOOR
31,?????????????,Thiruvananthapuram,?????????????,THIRUVANANTHAPRUAM,????????,MENAMKULAM
32,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,????????,ALAMCODE
33,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????????-???????????,ATTINGAL
34,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,??????,AZHOOR
35,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,?????????,EDAKODE
36,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????????,KOONTHALLOOR
37,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????????,KADAKKAVUR
38,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,??????,KARAVARAM
39,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,??????????????,KEEZHATTINGAL
40,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????,KIZHUVILLAM
41,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????????,KILIMANOOR
42,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,?????????????,KODUVAZHANOOR
43,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????,NAGAROOR
44,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,????????????????,PAZHAYAKUNNUMMEL
45,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????????,PULIMATH
46,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,?????????-?????????????,SARKARA
47,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,?????,VAKKAM
48,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,??????????,VELLALLOOR
49,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,??????????,AVANAVANCHERRY
50,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,?????,ELAMBA
51,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,??????????,MUDHAKKAL
52,?????????????,Thiruvananthapuram,?????????????,CHIRAYINKEEZH,???????????,ANCHUTHENGU
53,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????,ANAD
54,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????,ARUVIKKARA
55,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????,ARYANAD
56,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????,KALLARA NEDUMANGAD
57,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????,KARAKULAM
58,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????????,KARIPPUR
59,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,????????????,KOLIYACODE
60,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,???????,KURUPUZHA
61,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????????,MANIKKAL
62,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,????????????,NEDUMANGAD
63,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????????,NELLANAD
64,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,???????,PALODE
65,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,???????,PANAVOOR
66,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????,PERINGAMMALA
67,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????,PULLAMPARA
68,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????,THEKKADA
69,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,???????,THENNOOR
70,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,???????????,THOLICODE
71,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????????,UZHAMALAKKAL
72,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,????????,VAMANAPURAM
73,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????,VATTAPPARA
74,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????????,VELLANAD
75,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,??????,VEMBAYAM
76,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????,VITHURA
77,?????????????,Thiruvananthapuram,????????????,NEDUMANGAD,?????????,PANGODE
78,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????,ANAVOOR
79,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????,ATHIYANNOOR
80,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????,CHENKAL
81,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????????,KANJIRAMKULAM
82,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,????????,KARUMKULAM
83,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????,KARODE
84,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????,KOLLAYIL
85,?????????????,Thiruvananthapuram,???????????????,NEYYATTINKARA,???????????,KOTTUKAL
